"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different requests on the best buy categories application","Verify if the best buy categories application can be accessed by users","SUCCESS","2021-08-02T22:20:54.845+01:00[Europe/London]","0.0","7.72"
"Testing different requests on the best buy categories application","Create a new categories and verify if categories is added","SUCCESS","2021-08-02T22:21:06.466+01:00[Europe/London]","0.0","2.55"
"Testing different requests on the best buy categories application","Getting categories information by Id","SUCCESS","2021-08-02T22:21:09.138+01:00[Europe/London]","0.0","0.1"
"Testing different requests on the best buy categories application","Update the created categories record and verify if the categories is updated","SUCCESS","2021-08-02T22:21:09.370+01:00[Europe/London]","0.0","0.64"
"Testing different requests on the best buy categories application","Delete a created categories and verify the categories is deleted","SUCCESS","2021-08-02T22:21:10.149+01:00[Europe/London]","0.0","0.88"
"Testing different requests on the best buy product application","check if the best buy product application can be accessed by user","SUCCESS","2021-08-02T22:21:11.177+01:00[Europe/London]","0.0","0.58"
"Testing different requests on the best buy product application","Create a product and verify if the product is added","SUCCESS","2021-08-02T22:21:12.047+01:00[Europe/London]","0.0","0.73"
"Testing different requests on the best buy product application","Getting product information by Id","SUCCESS","2021-08-02T22:21:13.104+01:00[Europe/London]","0.0","0.06"
"Testing different requests on the best buy product application","Update a created product & verify if the product is updated","SUCCESS","2021-08-02T22:21:13.617+01:00[Europe/London]","0.0","0.33"
"Testing different requests on the best buy product application","Delete a created product & verify the product is deleted","SUCCESS","2021-08-02T22:21:14.187+01:00[Europe/London]","0.0","0.27"
"Testing different requests on the best buy service application","Verify if the best buy services application can be accessed by users","SUCCESS","2021-08-02T22:21:14.769+01:00[Europe/London]","0.0","0.12"
"Testing different requests on the best buy service application","Create a new services and verify if the service is added","SUCCESS","2021-08-02T22:21:15.190+01:00[Europe/London]","0.0","0.27"
"Testing different requests on the best buy service application","Getting services information by Id","SUCCESS","2021-08-02T22:21:15.622+01:00[Europe/London]","0.0","0.08"
"Testing different requests on the best buy service application","Update a created services and verify if the service is updated","SUCCESS","2021-08-02T22:21:15.890+01:00[Europe/London]","0.0","0.27"
"Testing different requests on the best buy service application","Delete a created services and verify the services is deleted","SUCCESS","2021-08-02T22:21:16.439+01:00[Europe/London]","0.0","0.22"
"Testing different requests on the best buy stores application","Verify if the best buy stores application can be accessed by users","SUCCESS","2021-08-02T22:21:16.885+01:00[Europe/London]","0.0","0.18"
"Testing different requests on the best buy stores application","Create a new stores and verify if the stores is added","SUCCESS","2021-08-02T22:21:17.501+01:00[Europe/London]","0.0","0.32"
"Testing different requests on the best buy stores application","Getting stores information by Id","SUCCESS","2021-08-02T22:21:18.037+01:00[Europe/London]","0.0","0.06"
"Testing different requests on the best buy stores application","Update a created store and verify if the store is updated","SUCCESS","2021-08-02T22:21:18.262+01:00[Europe/London]","0.0","0.32"
"Testing different requests on the best buy stores application","Delete a created store and verify the store is deleted","SUCCESS","2021-08-02T22:21:19.062+01:00[Europe/London]","0.0","0.22"
